model,train_fraction,run_idx,relation,relation_id,wave,reflexivity,symmetry,transitive,train_rows,valid_rows,test_rows,fit_time_s,predict_time_s,f1,precision,recall,accuracy,positive_rate_true,positive_rate_pred,tp,fp,fn,tn,average_precision,roc_auc
tabicl,0.8,6,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.3383890329860151,0.16716247994918376,0.4581497797356828,0.5842696629213483,0.37681159420289856,0.508,0.552,0.356,52,37,86,75,0.5851537014479433,0.5516627846790891
tabpfn,0.8,7,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.22002322098705918,0.3914434650214389,0.6591549295774648,0.5154185022026432,0.9140625,0.516,0.512,0.908,117,110,11,12,0.5446231809959701,0.528016137295082
tabicl,0.8,7,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.4081846149638295,0.16475976002402604,0.5753424657534246,0.5121951219512195,0.65625,0.504,0.512,0.656,84,80,44,42,0.5204814605653061,0.4933081454918033
tabpfn,0.8,8,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.22338480700273067,0.38812065904494375,0.5134099616858238,0.475177304964539,0.5583333333333333,0.492,0.48,0.564,67,74,53,56,0.4990043102140522,0.5189102564102563
tabicl,0.8,8,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.36025349190458655,0.16350693593267351,0.4366812227074236,0.45871559633027525,0.4166666666666667,0.484,0.48,0.436,50,59,70,71,0.4944792820827071,0.4917948717948718
tabpfn,0.8,9,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.22633695602416992,0.38761606998741627,0.26136363636363635,0.48936170212765956,0.17829457364341086,0.48,0.516,0.188,23,24,106,97,0.5430149379111157,0.5015696072778525
tabicl,0.8,9,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.33479572797659785,0.1639072330435738,0.4200913242009132,0.5111111111111111,0.35658914728682173,0.492,0.516,0.36,46,44,83,77,0.5347166590533428,0.4841117304119418
tabpfn,0.4,0,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.1844050189247355,0.41332699405029416,0.6566362170875873,0.4888,1.0,0.4888,0.4888,1.0,611,639,0,0,0.49485587713347823,0.5030159132646397
tabicl,0.4,0,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.3352595859905705,0.1811020519817248,0.6318874560375146,0.4922374429223744,0.8821603927986906,0.4976,0.4888,0.876,539,556,72,83,0.5128707311276569,0.5163205089785852
tabpfn,0.4,1,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.19417738798074424,0.4123987479833886,0.6498630136986301,0.48806584362139915,0.9721311475409836,0.4888,0.488,0.972,593,622,17,18,0.47338453423585247,0.48819031762295084
tabicl,0.4,1,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.3296486889012158,0.18030989507678896,0.582365003417635,0.49941383352872215,0.6983606557377049,0.5112,0.488,0.6824,426,427,184,213,0.486644990516046,0.4972079918032787
tabpfn,0.4,2,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.18202577799092978,0.40657730191014707,0.648854961832061,0.4849225753871231,0.9802306425041186,0.4848,0.4856,0.9816,595,632,12,11,0.4883693875583753,0.5045298372281904
tabicl,0.4,2,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.32685931003652513,0.180401616031304,0.6217315514235909,0.48025134649910234,0.8813838550247117,0.4792,0.4856,0.8912,535,579,72,64,0.49570994804106544,0.5137867953195099
tabpfn,0.4,3,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.17989836703054607,0.4128444050438702,0.6559139784946236,0.488,1.0,0.488,0.488,1.0,610,640,0,0,0.48416938678042604,0.4838985655737705
tabicl,0.4,3,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.33353144407738,0.18179596995469183,0.6169822846670739,0.4917234664070107,0.8278688524590164,0.4984,0.488,0.8216,505,522,105,118,0.4749145841028348,0.4859298155737705
tabpfn,0.4,4,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.39913713291753083,0.4268234570045024,0.10285714285714286,0.5070422535211268,0.057233704292527825,0.4976,0.5032,0.0568,36,35,593,586,0.49453585767993286,0.48731980061903335
tabicl,0.4,4,antisymmetric,A02,1,none,antisymmetric,0,1000,250,1250,0.35715239599812776,0.1822546279290691,0.4598290598290598,0.49722735674676527,0.4276629570747218,0.4944,0.5032,0.4328,269,272,360,349,0.49615227087776403,0.4965489786461654
