model,split_mode,train_fraction,run_idx,relation,relation_id,matrix_id,wave,reflexivity,symmetry,transitive,entity_count,anchor_entity_count,query_entity_count,transfer_matrix_count,transfer_train_rows,heldout_support_rows,support_pool_rows,evaluation_pool_rows,train_rows,valid_rows,test_rows,fit_time_s,predict_time_s,f1,precision,recall,accuracy,positive_rate_true,positive_rate_pred,tp,fp,fn,tn,average_precision,roc_auc
tabicl,leave_matrix_out_support,0.8,8,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.6044804010307416,1.3947254250524566,0.6,0.4830508474576271,0.7916666666666666,0.49333333333333335,0.48,0.7866666666666666,171,183,45,51,0.4956973105679809,0.5119598765432098
tabpfn,leave_matrix_out_support,0.8,9,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2070008770097047,2.4242119200062007,0.6686746987951807,0.5091743119266054,0.9736842105263158,0.5111111111111111,0.5066666666666667,0.9688888888888889,222,214,6,8,0.5377976799089177,0.5357199304567725
tabicl,leave_matrix_out_support,0.8,9,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4185141599737108,1.6315234380308539,0.599290780141844,0.5029761904761905,0.7412280701754386,0.49777777777777776,0.5066666666666667,0.7466666666666667,169,167,59,55,0.520658157830943,0.4947348664453927
tabpfn,leave_matrix_out_support,0.8,0,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2096967559773475,2.451000973000191,0.6291079812206573,0.46635730858468677,0.9663461538461539,0.47333333333333333,0.4622222222222222,0.9577777777777777,201,230,7,12,0.4586544412557878,0.4952817069294342
tabicl,leave_matrix_out_support,0.8,0,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.6686509979190305,1.3514499140437692,0.6322188449848024,0.4622222222222222,1.0,0.4622222222222222,0.4622222222222222,1.0,208,242,0,0,0.45260490435332185,0.4792593769866497
tabpfn,leave_matrix_out_support,0.8,1,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2003688940312713,2.410495965043083,0.6805349182763745,0.5240274599542334,0.9703389830508474,0.5222222222222223,0.5244444444444445,0.9711111111111111,229,208,7,6,0.5369521884941875,0.5137810866466024
tabicl,leave_matrix_out_support,0.8,1,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4088422739878297,1.5818922780454159,0.6354515050167224,0.5248618784530387,0.8050847457627118,0.5155555555555555,0.5244444444444445,0.8044444444444444,190,172,46,42,0.5212074304304096,0.4908522097259623
tabpfn,leave_matrix_out_support,0.8,2,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1887165840016678,2.4623738849768415,0.652241112828439,0.4964705882352941,0.9504504504504504,0.5,0.49333333333333335,0.9444444444444444,211,214,11,14,0.48372443250816344,0.4859728149201833
tabicl,leave_matrix_out_support,0.8,2,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4205004960531369,1.578126865089871,0.6597014925373135,0.49330357142857145,0.9954954954954955,0.49333333333333335,0.49333333333333335,0.9955555555555555,221,227,1,1,0.5003990560078483,0.5139975501817607
tabpfn,leave_matrix_out_support,0.8,3,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1866456009447575,2.427819066098891,0.6764705882352942,0.512249443207127,0.9956709956709957,0.5111111111111111,0.5133333333333333,0.9977777777777778,230,219,1,0,0.4960153267272497,0.48076656980766574
tabicl,leave_matrix_out_support,0.8,3,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.42786290193907917,1.5733122149249539,0.672645739910314,0.5136986301369864,0.974025974025974,0.5133333333333333,0.5133333333333333,0.9733333333333334,225,213,6,6,0.5319385913902922,0.5072841922156991
tabpfn,leave_matrix_out_support,0.8,4,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1817572369473055,2.461095125065185,0.6455505279034691,0.4798206278026906,0.9861751152073732,0.4777777777777778,0.4822222222222222,0.9911111111111112,214,232,3,1,0.4967546963091909,0.5178299479836237
tabicl,leave_matrix_out_support,0.8,4,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4388016399461776,1.575918519985862,0.6464339908952959,0.4819004524886878,0.9815668202764977,0.4822222222222222,0.4822222222222222,0.9822222222222222,213,229,4,4,0.47396745188401884,0.4838413006071874
tabpfn,leave_matrix_out_support,0.8,5,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.4807745630387217,2.4214396129827946,0.6342943854324734,0.46444444444444444,1.0,0.46444444444444444,0.46444444444444444,1.0,209,241,0,0,0.46879232995620174,0.5277154599058945
tabicl,leave_matrix_out_support,0.8,5,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.45660519099328667,1.5748676409712061,0.6341463414634146,0.465324384787472,0.9952153110047847,0.4666666666666667,0.46444444444444444,0.9933333333333333,208,239,1,2,0.4808083663997154,0.5206774007822271
tabpfn,leave_matrix_out_support,0.8,6,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2089960189769045,2.480417512007989,0.6606875934230194,0.4966292134831461,0.9866071428571429,0.4955555555555556,0.49777777777777776,0.9888888888888889,221,224,3,2,0.5221004124535185,0.5486626896333754
tabicl,leave_matrix_out_support,0.8,6,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4447032860480249,1.5786257149884477,0.6656760772659732,0.49888641425389757,1.0,0.5,0.49777777777777776,0.9977777777777778,224,225,0,1,0.4859388886478868,0.4757229772439949
tabpfn,leave_matrix_out_support,0.8,7,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1956233429955319,2.4281207519816235,0.667687595712098,0.5215311004784688,0.9276595744680851,0.5177777777777778,0.5222222222222223,0.9288888888888889,218,200,17,15,0.5481738538796654,0.5209500247402277
tabicl,leave_matrix_out_support,0.8,7,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.44233064795844257,1.572102316073142,0.6736842105263158,0.5209302325581395,0.9531914893617022,0.5177777777777778,0.5222222222222223,0.9555555555555556,224,206,11,9,0.5500081327391578,0.5363582384957943
tabpfn,leave_matrix_out_support,0.8,8,symmetric,A01,A01_m004,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1882492990698665,2.449094894109294,0.6804733727810651,0.5168539325842697,0.9956709956709957,0.52,0.5133333333333333,0.9888888888888889,230,215,1,4,0.5115539084483874,0.5066219929233627
